[2026-05-14 17:00:00.004] [3701643319] [INFO] [L3701643319T20260514165959959R11728] [数据交互|收到RSU数据] |RSU数据：FFFF00800000004A1C0000019E25B63A0637016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000020000024B011871
[2026-05-14 17:00:01.283] [3701643319] [INFO] [L3701643319T20260514170001283R11787] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000023401
[2026-05-14 17:00:01.283] [3701643319] [INFO] [L3701643319T20260514170001283R11788] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.283] [3701643319] [INFO] [L3701643319T20260514170001283R11788] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00100000002CC10000019E25B6DB8337016433190000000000000000E101010011E101C2405F137837010856001226730100BBE1
[2026-05-14 17:00:01.324] [3701643319] [INFO] [L3701643319T20260514170001283R11788] [数据交互|收到RSU数据] |RSU数据：FFFF00200000004A1C0000019E25B63F2F37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000060000023B019D63
[2026-05-14 17:00:01.324] [3701643319] [INFO] [L3701643319T20260514170001324R11789] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000060000023B01
[2026-05-14 17:00:01.324] [3701643319] [INFO] [L3701643319T20260514170001324R11790] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.324] [3701643319] [INFO] [L3701643319T20260514170001324R11790] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00200000002CC10000019E25B6DBAC37016433190000000000000000E101010011E101C2405F13783701085600122673010066C1
[2026-05-14 17:00:01.368] [3701643319] [INFO] [L3701643319T20260514170001324R11790] [数据交互|收到RSU数据] |RSU数据：FFFF00300000004A1C0000019E25B63F5B37016433190000000000000000000001002FE101B2405F137800C9BDB6AB37010001165137010856001226732026042220360422108001010000000500000236015F54
[2026-05-14 17:00:01.368] [3701643319] [INFO] [L3701643319T20260514170001368R11791] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000023601
[2026-05-14 17:00:01.368] [3701643319] [INFO] [L3701643319T20260514170001368R11792] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.369] [3701643319] [INFO] [L3701643319T20260514170001368R11792] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00300000002CC10000019E25B6DBD837016433190000000000000000E101010011E101C2405F13783701085600122673010093B7
[2026-05-14 17:00:01.412] [3701643319] [INFO] [L3701643319T20260514170001368R11792] [数据交互|收到RSU数据] |RSU数据：FFFF00400000004A1C0000019E25B63F8737016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023B01C7ED
[2026-05-14 17:00:01.412] [3701643319] [INFO] [L3701643319T20260514170001412R11793] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023B01
[2026-05-14 17:00:01.412] [3701643319] [INFO] [L3701643319T20260514170001412R11794] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.412] [3701643319] [INFO] [L3701643319T20260514170001412R11794] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00400000002CC10000019E25B6DC0437016433190000000000000000E101010011E101C2405F1378370108560012267301006D8E
[2026-05-14 17:00:01.455] [3701643319] [INFO] [L3701643319T20260514170001412R11794] [数据交互|收到RSU数据] |RSU数据：FFFF00500000004A1C0000019E25B63FB237016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023E019F2E
[2026-05-14 17:00:01.455] [3701643319] [INFO] [L3701643319T20260514170001455R11795] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023E01
[2026-05-14 17:00:01.456] [3701643319] [INFO] [L3701643319T20260514170001456R11796] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.456] [3701643319] [INFO] [L3701643319T20260514170001456R11796] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00500000002CC10000019E25B6DC3037016433190000000000000000E101010011E101C2405F137837010856001226730100D9B2
[2026-05-14 17:00:01.500] [3701643319] [INFO] [L3701643319T20260514170001456R11796] [数据交互|收到RSU数据] |RSU数据：FFFF00600000004A1C0000019E25B63FDF37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000024601614A
[2026-05-14 17:00:01.500] [3701643319] [INFO] [L3701643319T20260514170001500R11797] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000024601
[2026-05-14 17:00:01.500] [3701643319] [INFO] [L3701643319T20260514170001500R11798] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.500] [3701643319] [INFO] [L3701643319T20260514170001500R11798] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00600000002CC10000019E25B6DC5C37016433190000000000000000E101010011E101C2405F137837010856001226730100B918
[2026-05-14 17:00:01.543] [3701643319] [INFO] [L3701643319T20260514170001500R11798] [数据交互|收到RSU数据] |RSU数据：FFFF00700000004A1C0000019E25B6400A37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000023C01CEDA
[2026-05-14 17:00:01.543] [3701643319] [INFO] [L3701643319T20260514170001543R11799] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000023C01
[2026-05-14 17:00:01.543] [3701643319] [INFO] [L3701643319T20260514170001543R11800] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.544] [3701643319] [INFO] [L3701643319T20260514170001543R11800] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00700000002CC10000019E25B6DC8737016433190000000000000000E101010011E101C2405F137837010856001226730100F9AC
[2026-05-14 17:00:01.588] [3701643319] [INFO] [L3701643319T20260514170001543R11800] [数据交互|收到RSU数据] |RSU数据：FFFF00800000004A1C0000019E25B6403637016433190000000000000000000001002FE101B2405F137800C9BDB6AB37010001165137010856001226732026042220360422108001010000000400000240012CCB
[2026-05-14 17:00:01.588] [3701643319] [INFO] [L3701643319T20260514170001588R11801] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024001
[2026-05-14 17:00:01.588] [3701643319] [INFO] [L3701643319T20260514170001588R11802] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.588] [3701643319] [INFO] [L3701643319T20260514170001588R11802] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00800000002CC10000019E25B6DCB437016433190000000000000000E101010011E101C2405F137837010856001226730100EA0E
[2026-05-14 17:00:01.632] [3701643319] [INFO] [L3701643319T20260514170001588R11802] [数据交互|收到RSU数据] |RSU数据：FFFF00900000004A1C0000019E25B6406337016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000030000024601846C
[2026-05-14 17:00:01.632] [3701643319] [INFO] [L3701643319T20260514170001632R11803] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000030000024601
[2026-05-14 17:00:01.632] [3701643319] [INFO] [L3701643319T20260514170001632R11804] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.632] [3701643319] [INFO] [L3701643319T20260514170001632R11804] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00900000002CC10000019E25B6DCE037016433190000000000000000E101010011E101C2405F1378370108560012267301003FDD
[2026-05-14 17:00:01.676] [3701643319] [INFO] [L3701643319T20260514170001632R11804] [数据交互|收到RSU数据] |RSU数据：FFFF00100000004A1C0000019E25B6408E37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023D018664
[2026-05-14 17:00:01.676] [3701643319] [INFO] [L3701643319T20260514170001676R11805] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023D01
[2026-05-14 17:00:01.676] [3701643319] [INFO] [L3701643319T20260514170001676R11806] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.676] [3701643319] [INFO] [L3701643319T20260514170001676R11806] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00100000002CC10000019E25B6DD0C37016433190000000000000000E101010011E101C2405F137837010856001226730100AB77
[2026-05-14 17:00:01.720] [3701643319] [INFO] [L3701643319T20260514170001676R11806] [数据交互|收到RSU数据] |RSU数据：FFFF00200000004A1C0000019E25B640BA37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024A01D419
[2026-05-14 17:00:01.720] [3701643319] [INFO] [L3701643319T20260514170001720R11807] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024A01
[2026-05-14 17:00:01.720] [3701643319] [INFO] [L3701643319T20260514170001720R11808] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.720] [3701643319] [INFO] [L3701643319T20260514170001720R11808] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00200000002CC10000019E25B6DD3837016433190000000000000000E101010011E101C2405F13783701085600122673010054E0
[2026-05-14 17:00:01.764] [3701643319] [INFO] [L3701643319T20260514170001720R11808] [数据交互|收到RSU数据] |RSU数据：FFFF00300000004A1C0000019E25B640E637016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024001C38E
[2026-05-14 17:00:01.764] [3701643319] [INFO] [L3701643319T20260514170001764R11809] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024001
[2026-05-14 17:00:01.764] [3701643319] [INFO] [L3701643319T20260514170001764R11810] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.764] [3701643319] [INFO] [L3701643319T20260514170001764R11810] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00300000002CC10000019E25B6DD6437016433190000000000000000E101010011E101C2405F137837010856001226730100CB1E
[2026-05-14 17:00:01.807] [3701643319] [INFO] [L3701643319T20260514170001764R11810] [数据交互|收到RSU数据] |RSU数据：FFFF00400000004A1C0000019E25B6411237016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000023E01C3E7
[2026-05-14 17:00:01.807] [3701643319] [INFO] [L3701643319T20260514170001807R11811] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000023E01
[2026-05-14 17:00:01.807] [3701643319] [INFO] [L3701643319T20260514170001807R11812] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.807] [3701643319] [INFO] [L3701643319T20260514170001807R11812] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00400000002CC10000019E25B6DD8F37016433190000000000000000E101010011E101C2405F137837010856001226730100E3A8
[2026-05-14 17:00:01.852] [3701643319] [INFO] [L3701643319T20260514170001807R11812] [数据交互|收到RSU数据] |RSU数据：FFFF00500000004A1C0000019E25B6413F37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024101E108
[2026-05-14 17:00:01.852] [3701643319] [INFO] [L3701643319T20260514170001852R11813] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024101
[2026-05-14 17:00:01.852] [3701643319] [INFO] [L3701643319T20260514170001852R11814] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.852] [3701643319] [INFO] [L3701643319T20260514170001852R11814] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00500000002CC10000019E25B6DDBC37016433190000000000000000E101010011E101C2405F1378370108560012267301000A4A
[2026-05-14 17:00:01.896] [3701643319] [INFO] [L3701643319T20260514170001852R11814] [数据交互|收到RSU数据] |RSU数据：FFFF00600000004A1C0000019E25B6416B37016433190000000000000000000001002FE101B2405F137800C9BDB6AB37010001165137010856001226732026042220360422108001010000000400000248011F7C
[2026-05-14 17:00:01.896] [3701643319] [INFO] [L3701643319T20260514170001896R11815] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024801
[2026-05-14 17:00:01.896] [3701643319] [INFO] [L3701643319T20260514170001896R11816] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.897] [3701643319] [INFO] [L3701643319T20260514170001896R11816] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00600000002CC10000019E25B6DDE837016433190000000000000000E101010011E101C2405F1378370108560012267301009432
[2026-05-14 17:00:01.940] [3701643319] [INFO] [L3701643319T20260514170001896R11816] [数据交互|收到RSU数据] |RSU数据：FFFF00700000004A1C0000019E25B6419737016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024E01E23D
[2026-05-14 17:00:01.940] [3701643319] [INFO] [L3701643319T20260514170001940R11817] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024E01
[2026-05-14 17:00:01.940] [3701643319] [INFO] [L3701643319T20260514170001940R11818] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.940] [3701643319] [INFO] [L3701643319T20260514170001940R11818] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00700000002CC10000019E25B6DE1437016433190000000000000000E101010011E101C2405F1378370108560012267301006F0D
[2026-05-14 17:00:01.984] [3701643319] [INFO] [L3701643319T20260514170001940R11818] [数据交互|收到RSU数据] |RSU数据：FFFF00800000004A1C0000019E25B641C337016433190000000000000000000001002FE101B2405F137800C9BDB6AB370100011651370108560012267320260422203604221080010100000004000002530190C6
[2026-05-14 17:00:01.984] [3701643319] [INFO] [L3701643319T20260514170001984R11819] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000025301
[2026-05-14 17:00:01.984] [3701643319] [INFO] [L3701643319T20260514170001984R11820] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.985] [3701643319] [INFO] [L3701643319T20260514170001984R11820] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00800000002CC10000019E25B6DE4137016433190000000000000000E101010011E101C2405F137837010856001226730100ECD1
